ID Cycle SensorMeasure2 SensorMeasure3 SensorMeasure4 SensorMeasure7 SensorMeasure8 SensorMeasure9 SensorMeasure11 SensorMeasure12 SensorMeasure13 SensorMeasure14 SensorMeasure15 SensorMeasure17 SensorMeasure20 SensorMeasure21
1 1 642.36 1583.23 1396.84 553.97 2387.96 9062.17 47.3 522.31 2388.01 8145.32 8.4246 391 39.11 23.3537
1 2 642.5 1584.69 1396.89 554.55 2388.0 9061.78 47.23 522.42 2388.03 8152.85 8.4403 392 38.99 23.4491
1 3 642.18 1582.35 1405.61 554.43 2388.03 9070.23 47.22 522.03 2388.0 8150.17 8.3901 391 38.85 23.3669
1 4 642.92 1585.61 1392.27 555.21 2388.0 9064.57 47.24 522.49 2388.08 8146.56 8.3878 392 38.96 23.2951
1 5 641.68 1588.63 1397.65 554.74 2388.04 9076.14 47.15 522.58 2388.03 8147.8 8.3869 392 39.14 23.4583
1 6 642.24 1584.09 1400.01 554.75 2388.0 9074.98 47.07 522.42 2388.02 8144.92 8.4152 393 38.92 23.4281
1 7 642.58 1585.61 1401.09 554.58 2388.04 9074.65 47.38 522.46 2388.02 8147.05 8.3842 391 38.84 23.4087
1 8 642.32 1588.32 1397.08 554.85 2388.06 9063.54 47.31 522.1 2387.97 8157.34 8.419 391 39.05 23.459
1 9 641.64 1587.81 1406.51 554.13 2388.04 9067.2 47.31 521.83 2388.01 8147.2 8.4091 392 38.99 23.4693
1 10 642.42 1587.39 1402.25 554.78 2387.99 9070.04 47.35 521.96 2387.99 8152.86 8.3987 391 38.94 23.4781
1 11 642.28 1582.38 1391.88 554.3 2388.01 9068.24 47.35 522.23 2388.03 8144.53 8.4235 392 38.97 23.4127
1 12 641.88 1583.24 1397.74 554.35 2388.04 9075.26 47.26 522.13 2387.98 8149.04 8.359 392 39.09 23.366
1 13 641.92 1589.68 1395.55 554.52 2387.98 9066.53 47.14 522.06 2388.02 8151.88 8.3821 391 39.04 23.4273
1 14 642.66 1587.29 1400.9 555.17 2388.02 9067.34 47.28 522.54 2387.97 8148.13 8.4277 390 39.03 23.386
1 15 642.34 1580.8 1396.5 553.96 2387.95 9069.89 47.29 522.72 2388.0 8150.63 8.4007 390 39.02 23.4556
1 16 641.68 1587.32 1395.49 553.82 2388.02 9071.14 47.14 522.28 2387.98 8147.5 8.4197 391 38.96 23.3717
1 17 641.9 1591.12 1395.08 555.06 2388.0 9060.74 47.0 521.98 2387.93 8154.66 8.3761 393 39.04 23.3718
1 18 642.39 1578.96 1402.24 554.21 2387.97 9075.87 47.2 522.2 2388.01 8151.19 8.4205 392 39.12 23.5448
1 19 642.3 1584.04 1398.85 554.59 2387.98 9074.41 47.16 522.04 2387.98 8154.65 8.3727 391 39.01 23.408
1 20 642.26 1579.65 1395.59 554.49 2387.97 9071.28 47.16 523.02 2388.03 8146.24 8.4252 391 38.87 23.4903
1 21 642.62 1590.18 1398.01 554.0 2387.99 9074.66 47.26 522.77 2388.01 8148.33 8.422 391 38.92 23.5088
1 22 642.13 1586.21 1397.07 554.51 2387.98 9075.72 47.32 522.68 2388.03 8152.3 8.4134 392 39.02 23.3533
1 23 642.05 1586.03 1394.01 554.36 2387.99 9068.45 47.17 521.82 2388.03 8153.47 8.3946 391 39.06 23.4476
1 24 642.02 1585.13 1394.81 554.39 2387.96 9072.51 47.41 522.59 2388.02 8154.84 8.4162 391 39.07 23.4648
1 25 641.93 1586.82 1406.62 553.81 2387.99 9076.1 47.31 522.08 2388.04 8154.5 8.3952 391 38.85 23.3842
1 26 642.37 1585.26 1398.77 554.79 2387.98 9065.37 47.28 522.06 2388.02 8150.15 8.3937 392 38.93 23.3681
1 27 642.12 1582.77 1400.16 554.18 2387.98 9065.21 47.33 522.08 2388.03 8148.77 8.4132 390 39.06 23.3763
1 28 643.01 1578.4 1400.24 554.66 2387.99 9055.81 47.17 522.19 2388.04 8149.12 8.4243 391 39.02 23.4666
1 29 642.04 1587.5 1393.05 554.1 2387.97 9068.18 47.22 521.81 2388.01 8153.95 8.4001 393 39.04 23.4538
1 30 642.53 1586.99 1396.67 554.78 2388.03 9068.92 47.34 522.45 2387.97 8149.55 8.4513 392 39.12 23.4103
1 31 642.32 1586.13 1397.47 553.71 2387.95 9063.81 47.24 522.35 2388.01 8150.74 8.3766 390 39.2 23.4302
1 32 642.11 1587.7 1392.44 555.28 2388.03 9066.15 47.17 522.72 2387.96 8151.57 8.4155 391 39.02 23.3631
1 33 642.49 1579.54 1399.94 554.2 2388.0 9059.84 47.27 521.95 2388.0 8154.7 8.4126 392 39.16 23.4065
1 34 642.21 1586.42 1403.41 554.28 2387.96 9068.03 47.47 522.03 2388.02 8146.6 8.4218 391 39.02 23.4787
1 35 641.8 1590.74 1396.33 553.75 2388.03 9069.69 47.55 522.09 2388.02 8148.97 8.4268 392 38.9 23.2894
1 36 642.45 1581.86 1395.89 554.85 2388.02 9067.31 47.32 522.22 2388.03 8146.41 8.4141 393 38.91 23.5297
1 37 642.06 1588.99 1396.98 554.82 2387.95 9073.55 47.33 522.58 2388.02 8151.59 8.3305 393 39.03 23.4539
1 38 642.49 1588.71 1401.57 555.03 2388.01 9071.77 47.3 522.62 2387.98 8148.72 8.3718 392 38.83 23.4252
1 39 641.6 1578.79 1400.48 554.31 2388.02 9074.51 47.19 522.26 2387.99 8155.39 8.4005 392 38.91 23.3543
1 40 642.22 1583.9 1395.26 554.51 2387.96 9069.77 47.24 522.47 2388.02 8150.31 8.3948 394 38.94 23.4083
1 41 641.96 1582.54 1400.72 554.61 2387.97 9072.56 47.32 522.45 2387.97 8151.32 8.3559 392 39.07 23.3239
1 42 642.06 1584.71 1403.21 554.31 2388.0 9071.68 47.26 522.2 2387.97 8148.7 8.4148 392 38.86 23.4382
1 43 642.71 1581.49 1399.38 553.96 2387.96 9072.52 47.1 522.42 2387.98 8144.75 8.4327 392 39.14 23.4357
1 44 642.69 1585.54 1407.66 552.85 2387.99 9068.1 47.26 522.78 2387.94 8149.9 8.4334 389 39.17 23.3515
1 45 642.56 1584.23 1407.95 554.23 2387.96 9066.98 47.17 522.56 2387.98 8153.01 8.4343 391 39.01 23.3131
1 46 642.02 1582.9 1400.5 554.61 2388.06 9071.26 47.21 522.04 2388.04 8145.17 8.4268 392 38.88 23.5009
1 47 642.6 1592.1 1398.26 554.11 2388.01 9073.71 47.28 522.03 2387.97 8150.46 8.3755 392 39.14 23.269
1 48 642.44 1583.27 1399.17 554.16 2388.02 9066.97 47.27 522.29 2388.04 8150.94 8.3998 394 39.02 23.3188
1 49 642.37 1586.75 1393.83 553.91 2388.04 9076.18 47.28 521.94 2388.01 8149.51 8.3804 390 38.92 23.3822
1 50 642.41 1590.26 1398.51 554.27 2387.98 9068.53 47.08 522.01 2388.04 8148.25 8.4073 392 38.97 23.3748
1 51 642.2 1587.71 1390.26 554.71 2387.99 9067.59 47.21 522.4 2387.98 8153.0 8.3567 391 38.9 23.4784
1 52 642.61 1583.3 1403.78 554.09 2387.97 9063.21 47.24 521.69 2387.93 8150.07 8.3914 391 38.97 23.3179
1 53 642.45 1583.03 1400.06 553.12 2388.03 9064.82 47.34 522.4 2388.04 8150.1 8.411 391 38.91 23.439
