ID,Cycle,SensorMeasure2,SensorMeasure3,SensorMeasure4,SensorMeasure6,SensorMeasure7,SensorMeasure8,SensorMeasure9,SensorMeasure10,SensorMeasure11,SensorMeasure12,SensorMeasure13,SensorMeasure14,SensorMeasure15,SensorMeasure17,SensorMeasure20,SensorMeasure21,RUL
14,1,642.55,1584.93,1395.73,21.6,553.88,2388.02,9053.21,1.3,47.19,522.29,2388.02,8138.49,8.4401,392,38.97,23.4079,125
14,2,642.22,1584.26,1399.53,21.61,555.17,2387.98,9057.23,1.3,47.39,522.37,2387.98,8141.97,8.3927,393,39.08,23.3756,125
14,3,642.12,1585.09,1403.36,21.61,554.6,2388.02,9058.04,1.3,47.17,522.69,2388.05,8134.3,8.4074,391,38.87,23.4295,125
14,4,642.44,1585.89,1400.5,21.61,553.83,2388.02,9063.19,1.3,47.07,522.34,2387.98,8142.98,8.3932,392,39.1,23.3264,125
14,5,642.59,1585.67,1396.07,21.61,554.41,2388.0,9054.82,1.3,47.17,522.07,2387.97,8139.54,8.3834,391,38.94,23.3947,125
14,6,642.4,1582.04,1398.75,21.61,553.72,2387.97,9058.98,1.3,47.28,521.91,2388.03,8141.36,8.3957,390,39.11,23.4501,125
14,7,642.56,1587.84,1392.71,21.61,554.69,2387.96,9048.64,1.3,47.09,521.88,2388.03,8140.97,8.434,391,38.9,23.3448,125
14,8,642.27,1581.71,1394.43,21.61,554.87,2388.04,9054.87,1.3,47.28,522.82,2388.02,8144.41,8.4154,390,38.98,23.3456,125
14,9,642.38,1579.3,1399.16,21.61,554.33,2388.01,9058.79,1.3,47.14,522.01,2388.03,8138.9,8.3767,391,38.85,23.3732,125
14,10,642.21,1590.81,1398.37,21.61,554.48,2388.03,9055.46,1.3,47.24,522.25,2388.02,8135.82,8.4178,391,39.12,23.4111,125
14,11,641.99,1581.91,1399.07,21.61,554.5,2387.99,9046.34,1.3,47.18,522.3,2388.01,8138.2,8.3795,391,39.11,23.4157,125
14,12,641.91,1579.57,1395.63,21.61,554.54,2388.06,9057.71,1.3,47.12,522.0,2388.06,8137.76,8.3768,391,39.07,23.4449,125
14,13,642.39,1581.06,1402.67,21.61,554.05,2388.01,9047.29,1.3,47.27,522.56,2388.09,8140.17,8.3821,392,39.27,23.4964,125
14,14,642.27,1588.36,1399.08,21.61,555.01,2388.03,9056.27,1.3,47.36,522.57,2388.06,8141.37,8.372,392,38.91,23.4755,125
14,15,641.67,1585.65,1394.96,21.61,555.52,2387.98,9051.53,1.3,47.32,522.08,2388.0,8138.82,8.3833,392,39.15,23.4278,125
14,16,642.27,1582.1,1393.32,21.61,554.48,2388.03,9058.14,1.3,47.21,522.33,2388.05,8139.46,8.4079,392,38.94,23.4896,125
14,17,641.8,1585.88,1401.61,21.61,554.25,2388.05,9054.87,1.3,47.08,522.49,2387.96,8137.07,8.3883,393,38.83,23.4194,125
14,18,642.19,1585.93,1402.7,21.61,554.53,2388.02,9054.19,1.3,47.15,522.14,2388.04,8137.84,8.3896,392,39.04,23.3562,125
14,19,642.11,1584.56,1398.55,21.6,554.09,2387.99,9051.22,1.3,47.02,522.4,2388.01,8144.41,8.4037,392,39.09,23.4574,125
14,20,642.0,1583.52,1390.04,21.6,554.88,2388.03,9059.22,1.3,47.26,522.23,2388.08,8140.08,8.3713,390,39.01,23.4179,125
14,21,642.53,1582.92,1397.76,21.6,554.96,2388.02,9055.88,1.3,47.05,522.43,2388.02,8137.45,8.3769,391,39.12,23.5102,125
14,22,642.0,1590.54,1390.89,21.61,554.67,2387.98,9057.21,1.3,47.21,521.92,2388.02,8141.55,8.3932,392,38.98,23.3177,125
14,23,642.12,1582.45,1398.72,21.61,554.16,2388.02,9053.77,1.3,47.22,521.86,2388.02,8139.79,8.4191,391,39.05,23.4793,125
14,24,642.18,1582.54,1408.26,21.61,554.43,2388.12,9058.05,1.3,47.26,522.18,2388.04,8134.16,8.4023,393,39.14,23.5222,125
14,25,641.99,1587.42,1404.55,21.61,553.66,2388.08,9053.45,1.3,47.27,522.7,2388.03,8137.17,8.4097,391,38.99,23.4163,125
14,26,642.38,1582.63,1401.04,21.61,554.3,2388.0,9055.24,1.3,47.41,522.1,2388.04,8141.18,8.3962,392,39.12,23.4757,125
14,27,642.05,1590.56,1398.57,21.61,554.54,2388.0,9057.86,1.3,47.1,522.43,2387.99,8137.99,8.3728,391,38.88,23.422,125
14,28,641.79,1580.4,1391.63,21.61,554.06,2388.02,9053.6,1.3,47.31,521.91,2388.07,8135.14,8.4161,391,39.04,23.383,125
