id RUL SensorMeasure2 SensorMeasure3 SensorMeasure4 SensorMeasure7 SensorMeasure8 SensorMeasure11 SensorMeasure12 SensorMeasure13 SensorMeasure15 SensorMeasure17 SensorMeasure20 SensorMeasure21
2136 239 642.2 1585.65 1395.39 554.78 2388.05 47.13 522.29 2387.97 8.3935 392 39.03 23.4919
2137 238 641.81 1585.63 1389.78 554.63 2388.01 47.18 522.33 2388.04 8.3643 391 39.12 23.4647
2138 237 642.05 1587.83 1392.21 554.48 2388.01 47.46 522.31 2388.03 8.3758 392 39.16 23.3271
2139 236 642.19 1577.4 1394.48 554.07 2388.05 47.26 521.69 2388.03 8.3784 391 39.06 23.4017
2140 235 642.32 1578.17 1398.36 554.73 2388.02 47.15 522.56 2388.0 8.4056 391 38.98 23.3377
2141 234 641.88 1587.32 1398.81 554.49 2387.98 47.11 522.6 2388.07 8.396 392 38.99 23.4387
2142 233 642.43 1586.23 1400.55 553.98 2388.03 47.12 522.38 2388.04 8.3946 391 38.97 23.4719
2143 232 642.21 1586.81 1400.84 554.46 2388.04 47.02 522.67 2388.05 8.4047 391 39.18 23.422
2144 231 641.85 1587.66 1400.39 554.83 2388.01 47.29 522.49 2388.03 8.3542 392 38.93 23.4871
2145 230 641.71 1580.18 1399.96 554.29 2388.06 47.21 521.98 2387.94 8.3836 390 38.93 23.3689
2146 229 642.69 1589.05 1403.4 553.97 2388.06 47.17 522.38 2387.98 8.4111 391 38.92 23.4216
2147 228 642.24 1581.53 1398.4 554.93 2388.0 47.14 521.77 2388.0 8.4222 391 39.11 23.4267
2148 227 642.53 1582.63 1400.43 554.63 2387.98 47.27 522.1 2388.04 8.3639 392 39.15 23.4336
2149 226 642.27 1589.27 1391.25 554.02 2388.01 47.22 522.44 2387.99 8.3427 394 39.0 23.3445
2150 225 642.61 1582.4 1406.64 554.31 2388.07 47.28 522.36 2387.98 8.3758 392 39.05 23.2728
2151 224 642.51 1591.74 1400.99 554.38 2388.04 47.23 521.95 2388.02 8.4237 391 39.01 23.4991
2152 223 641.61 1586.2 1397.7 554.39 2388.02 47.26 522.45 2388.02 8.4331 390 38.89 23.3643
2153 222 641.92 1587.52 1394.4 554.03 2388.03 47.28 522.14 2388.0 8.392 392 38.98 23.4803
2154 221 642.79 1582.29 1395.37 554.79 2387.96 47.17 522.76 2388.02 8.3984 392 39.03 23.4238
2155 220 642.35 1593.36 1398.75 554.19 2388.03 47.21 522.13 2388.0 8.3675 393 39.03 23.3962
2156 219 642.44 1583.42 1391.13 554.51 2388.06 47.21 522.54 2388.01 8.3857 392 39.01 23.4342
2157 218 642.08 1581.85 1402.4 553.57 2388.05 47.28 522.71 2388.07 8.3772 391 38.99 23.4564
2158 217 642.25 1580.18 1399.86 554.03 2388.03 47.24 522.05 2387.96 8.4163 392 38.7 23.3861
2159 216 642.15 1583.63 1400.31 554.11 2388.02 47.15 522.1 2388.01 8.4124 392 39.02 23.4246
2160 215 641.73 1580.23 1403.54 555.36 2388.05 47.3 522.64 2387.99 8.391 394 38.73 23.272
2161 214 642.09 1579.34 1396.14 554.32 2388.06 47.29 522.42 2388.01 8.3937 391 38.84 23.2838
2162 213 642.13 1588.96 1400.06 554.01 2388.01 47.3 522.09 2388.05 8.4127 393 38.79 23.4566
2163 212 642.22 1576.29 1402.92 555.28 2388.05 47.34 522.32 2387.98 8.4136 390 38.94 23.4501
2164 211 642.1 1582.76 1397.34 555.31 2388.04 47.24 522.47 2387.98 8.3926 392 38.85 23.4664
2165 210 642.01 1582.15 1400.58 553.93 2388.0 47.33 522.85 2388.03 8.4034 390 38.89 23.5179
2166 209 642.22 1591.95 1390.69 553.69 2388.03 47.22 522.2 2387.95 8.4041 393 39.09 23.4137
2167 208 641.69 1580.75 1401.48 554.41 2387.97 47.34 522.05 2388.06 8.4134 393 38.96 23.3978
2168 207 641.98 1584.74 1394.85 554.38 2387.99 47.21 522.54 2388.05 8.4162 390 38.89 23.4365
2169 206 642.91 1588.67 1396.78 554.29 2388.03 47.2 522.66 2388.01 8.3959 391 38.97 23.4385
2170 205 642.19 1587.71 1402.56 554.35 2388.0 47.15 522.64 2387.96 8.4455 392 39.14 23.44
2171 204 641.99 1586.4 1397.55 553.86 2388.02 47.24 521.79 2388.02 8.388 392 38.96 23.3295
2172 203 642.18 1582.02 1392.64 554.52 2388.06 47.16 522.52 2388.07 8.4105 392 38.96 23.3884
2173 202 642.18 1584.35 1395.71 553.9 2387.96 47.11 522.54 2388.04 8.3874 393 39.0 23.4518
2174 201 642.73 1581.9 1398.09 554.9 2388.04 47.18 522.18 2388.07 8.4254 392 39.21 23.4269
2175 200 642.26 1584.31 1400.42 554.78 2388.03 47.39 522.45 2388.05 8.4039 391 38.85 23.4185
2176 199 641.62 1584.46 1397.41 554.26 2388.03 47.28 522.26 2388.01 8.3796 392 39.01 23.4146
2177 198 641.41 1588.62 1400.52 553.96 2388.06 47.24 521.81 2388.03 8.4085 392 38.96 23.3637
2178 197 642.38 1582.06 1399.23 553.95 2388.03 47.18 522.15 2388.05 8.3586 392 39.02 23.4501
2179 196 642.22 1581.61 1405.46 554.34 2388.02 47.17 522.52 2388.03 8.4236 391 39.09 23.4477
2180 195 642.13 1576.17 1391.03 554.41 2388.08 47.1 522.29 2388.01 8.395 392 39.18 23.4272
2181 194 641.7 1581.5 1398.47 554.16 2387.96 47.17 522.26 2387.98 8.4173 392 39.04 23.5197
2182 193 642.39 1587.17 1397.92 554.21 2388.04 47.19 522.34 2388.03 8.4126 393 38.95 23.3655
2183 192 642.43 1589.74 1400.98 554.35 2388.01 47.32 521.97 2388.01 8.3858 393 39.12 23.426
2184 191 641.96 1575.0 1399.38 554.37 2388.02 47.27 522.86 2388.05 8.4135 393 38.98 23.477
2185 190 642.27 1571.84 1403.6 553.75 2388.04 47.2 521.92 2388.04 8.4526 390 39.09 23.4715
2186 189 642.34 1584.54 1398.17 554.69 2388.01 47.25 522.38 2388.03 8.422 390 39.0 23.3789
2187 188 642.46 1583.06 1403.83 555.18 2388.03 47.17 522.66 2388.06 8.3852 392 38.99 23.4803
2188 187 642.49 1583.43 1392.95 555.13 2388.04 47.2 522.59 2388.04 8.4087 392 39.1 23.3581
2189 186 642.36 1589.87 1394.84 554.59 2388.03 47.23 522.0 2387.99 8.4052 391 39.02 23.4614
2190 185 642.11 1587.89 1391.51 554.04 2388.07 47.24 521.96 2388.03 8.4011 392 39.01 23.4166
2191 184 642.7 1584.42 1400.18 554.38 2388.05 47.27 521.92 2388.06 8.3797 392 39.09 23.3369
2192 183 642.08 1584.82 1402.39 554.6 2388.0 47.31 522.42 2388.01 8.3852 392 39.01 23.5788
2193 182 641.79 1581.77 1405.3 554.61 2388.04 47.36 522.19 2388.03 8.3997 391 39.09 23.301
2194 181 642.45 1585.68 1405.2 555.21 2388.06 47.17 522.11 2387.98 8.4084 392 38.87 23.3353
2195 180 642.11 1585.22 1398.27 554.13 2387.97 47.36 522.27 2388.04 8.3992 393 38.98 23.2988
2196 179 642.06 1595.45 1399.97 553.83 2388.01 47.09 522.31 2388.0 8.4256 392 39.05 23.5049
2197 178 642.0 1586.58 1398.58 555.3 2387.96 47.17 522.26 2388.0 8.4093 391 38.83 23.35
2198 177 641.98 1585.86 1393.16 554.07 2388.02 47.31 522.02 2388.0 8.3898 392 39.09 23.4401
2199 176 641.97 1584.22 1398.68 555.04 2387.97 47.37 522.12 2388.01 8.3873 391 39.04 23.2613
2200 175 642.43 1588.24 1398.46 554.11 2388.07 47.31 522.41 2388.05 8.3914 391 38.79 23.3453
2201 174 642.72 1588.41 1397.4 554.47 2388.05 47.19 522.14 2387.98 8.3816 392 39.12 23.4133
2202 173 642.3 1585.26 1394.41 555.33 2387.96 47.4 522.62 2388.07 8.3935 391 38.99 23.3399
2203 172 642.23 1583.28 1403.57 554.36 2388.04 47.24 522.27 2388.02 8.4065 391 38.92 23.3509
2204 171 642.24 1586.27 1400.55 554.23 2388.02 47.28 522.23 2388.09 8.4009 392 38.86 23.461
2205 170 642.34 1580.13 1401.56 554.11 2387.98 47.26 522.12 2388.01 8.4101 393 38.89 23.3699
2206 169 642.57 1586.2 1394.86 554.99 2388.02 47.4 521.88 2388.02 8.4211 391 39.1 23.4454
2207 168 642.32 1591.12 1400.38 553.96 2388.04 47.17 522.0 2388.03 8.4049 393 38.8 23.3863
2208 167 642.07 1584.11 1397.97 553.95 2387.95 47.19 522.95 2388.03 8.3978 392 38.94 23.3674
2209 166 642.27 1585.03 1395.96 554.51 2388.01 47.44 521.86 2388.03 8.412 392 38.89 23.5082
2210 165 641.95 1580.27 1391.07 554.31 2388.0 47.3 522.08 2388.04 8.4128 392 38.99 23.3972
2211 164 642.07 1584.39 1403.1 553.78 2387.96 47.25 521.79 2388.03 8.4069 395 38.96 23.3912
2212 163 642.42 1589.24 1399.83 554.46 2388.02 47.19 522.21 2387.94 8.3871 391 39.04 23.37
2213 162 642.0 1588.75 1396.85 553.93 2387.98 47.32 522.56 2388.01 8.3964 393 39.03 23.3964
2214 161 642.36 1582.83 1396.23 553.95 2388.02 47.14 521.93 2388.07 8.425 392 38.98 23.3147
