ID,Cycle,SensorMeasure2,SensorMeasure3,SensorMeasure4,SensorMeasure6,SensorMeasure7,SensorMeasure8,SensorMeasure9,SensorMeasure10,SensorMeasure11,SensorMeasure12,SensorMeasure13,SensorMeasure14,SensorMeasure15,SensorMeasure17,SensorMeasure20,SensorMeasure21,RUL
15,1,642.51,1589.9,1407.33,21.61,552.74,2388.12,9057.17,1.3,47.74,521.66,2388.06,8136.59,8.4428,394,38.79,23.2583,125
15,2,642.47,1591.78,1413.42,21.61,553.55,2388.15,9051.46,1.3,47.65,521.1,2388.16,8137.52,8.4127,394,38.88,23.192,125
15,3,642.71,1594.08,1406.59,21.61,553.03,2388.08,9059.1,1.3,47.64,521.4,2388.12,8137.02,8.478,393,38.68,23.2699,125
15,4,643.01,1587.71,1414.2,21.61,554.0,2388.12,9056.53,1.3,47.62,521.34,2388.09,8139.37,8.4513,393,38.52,23.353,125
15,5,643.05,1587.36,1404.69,21.61,553.01,2388.12,9058.03,1.3,47.45,521.32,2388.1,8132.02,8.4529,393,38.74,23.2412,125
15,6,642.44,1588.73,1417.56,21.61,553.12,2388.07,9058.41,1.3,47.5,520.66,2388.16,8138.18,8.4404,393,38.79,23.3692,125
15,7,642.6,1592.91,1411.79,21.61,552.51,2388.1,9062.55,1.3,47.5,521.55,2388.09,8136.57,8.448,394,39.0,23.2617,125
15,8,642.68,1590.22,1402.52,21.61,553.5,2388.1,9059.58,1.3,47.52,521.31,2388.12,8137.51,8.4505,395,38.77,23.2676,125
15,9,642.35,1595.22,1411.18,21.61,553.52,2388.12,9050.75,1.3,47.48,521.43,2388.07,8138.42,8.4572,392,38.8,23.3025,125
15,10,643.11,1594.08,1415.99,21.61,553.08,2388.09,9063.67,1.3,47.51,521.14,2388.13,8139.13,8.4354,394,38.6,23.2165,125
15,11,642.43,1590.54,1413.38,21.61,552.84,2388.1,9056.58,1.3,47.65,521.07,2388.14,8138.83,8.4421,393,38.74,23.2988,125
15,12,642.07,1591.51,1412.65,21.61,552.7,2388.17,9064.82,1.3,47.46,521.31,2388.1,8139.59,8.4412,394,38.66,23.2339,125
15,13,642.84,1599.0,1412.77,21.61,553.36,2388.11,9054.7,1.3,47.77,521.51,2388.11,8135.88,8.4451,394,38.78,23.2599,125
15,14,642.37,1586.02,1405.02,21.61,553.28,2388.13,9059.32,1.3,47.35,521.65,2388.14,8138.14,8.4689,394,38.74,23.2551,125
15,15,642.45,1586.38,1410.45,21.61,552.85,2388.12,9054.71,1.3,47.63,521.04,2388.12,8135.54,8.4088,393,38.82,23.3263,125
15,16,642.61,1596.39,1408.61,21.61,553.45,2388.13,9052.4,1.3,47.66,521.72,2388.1,8135.58,8.4802,394,38.71,23.2571,125
15,17,643.14,1593.07,1409.92,21.61,553.9,2388.15,9057.82,1.3,47.57,521.8,2388.11,8142.0,8.444,394,38.76,23.2318,125
15,18,642.75,1596.05,1409.22,21.61,552.92,2388.14,9057.64,1.3,47.55,521.65,2388.12,8131.51,8.4644,393,38.76,23.3294,125
15,19,642.59,1587.44,1406.8,21.61,552.87,2388.06,9056.04,1.3,47.57,520.97,2388.1,8139.05,8.458,393,38.65,23.1842,125
15,20,643.17,1595.95,1403.23,21.61,552.74,2388.1,9061.58,1.3,47.66,521.17,2388.12,8134.1,8.4345,395,38.71,23.365,125
15,21,643.07,1593.6,1412.48,21.61,553.06,2388.12,9060.44,1.3,47.74,521.88,2388.13,8140.97,8.4776,394,38.85,23.3033,125
15,22,642.42,1587.2,1412.99,21.61,552.61,2388.16,9060.48,1.3,47.65,521.51,2388.13,8135.06,8.4576,393,38.63,23.2599,125
15,23,642.68,1584.75,1407.0,21.61,553.33,2388.12,9060.55,1.3,47.52,521.48,2388.11,8140.73,8.4597,394,38.88,23.2396,125
15,24,642.76,1588.59,1398.02,21.61,553.71,2388.12,9062.35,1.3,47.51,521.17,2388.13,8138.41,8.4538,391,38.85,23.2116,125
15,25,642.12,1595.12,1415.62,21.61,553.4,2388.09,9056.42,1.3,47.83,521.47,2388.11,8138.95,8.4616,393,38.53,23.3127,125
15,26,642.43,1595.41,1417.74,21.61,553.87,2388.13,9064.46,1.3,47.34,521.18,2388.08,8145.83,8.4399,394,38.96,23.3749,125
15,27,642.53,1591.8,1418.13,21.61,553.51,2388.13,9053.22,1.3,47.53,521.3,2388.17,8139.95,8.4552,393,38.66,23.2789,125
15,28,642.88,1579.99,1413.64,21.61,552.94,2388.11,9060.22,1.3,47.77,520.98,2388.14,8139.97,8.4507,395,38.78,23.2599,125
15,29,642.59,1588.33,1414.44,21.61,552.78,2388.1,9061.51,1.3,47.59,520.93,2388.09,8131.1,8.4282,395,38.85,23.3366,125
15,30,642.09,1578.99,1416.51,21.61,552.52,2388.13,9050.71,1.3,47.53,521.35,2388.12,8136.91,8.4339,394,38.84,23.2356,125
15,31,642.31,1597.52,1406.69,21.61,553.01,2388.12,9055.05,1.3,47.65,520.56,2388.17,8143.92,8.4521,394,38.86,23.2374,125
15,32,642.63,1592.75,1413.89,21.61,552.82,2388.09,9056.43,1.3,47.59,521.34,2388.18,8138.16,8.4388,393,38.69,23.3078,125
15,33,642.92,1587.72,1408.94,21.61,553.37,2388.12,9057.02,1.3,47.73,521.2,2388.09,8136.36,8.4314,393,38.5,23.2066,125
15,34,643.01,1586.56,1414.15,21.61,553.32,2388.12,9057.6,1.3,47.51,521.5,2388.1,8138.45,8.4803,392,38.8,23.1989,125
15,35,642.65,1592.04,1413.19,21.61,553.94,2388.16,9055.96,1.3,47.55,521.22,2388.11,8138.28,8.4593,393,38.72,23.3308,125
15,36,642.97,1585.71,1406.04,21.61,553.37,2388.11,9053.44,1.3,47.53,521.14,2388.18,8136.94,8.4645,393,38.87,23.2278,125
15,37,643.17,1590.83,1413.49,21.61,552.86,2388.11,9056.97,1.3,47.57,520.89,2388.14,8131.8,8.4635,394,38.71,23.2551,125
15,38,642.97,1593.02,1407.08,21.61,553.2,2388.1,9065.38,1.3,47.6,521.58,2388.1,8138.82,8.4958,393,38.83,23.3563,125
15,39,642.77,1592.74,1407.71,21.61,552.67,2388.11,9058.46,1.3,47.52,521.06,2388.13,8136.97,8.4337,395,38.76,23.266,125
15,40,642.76,1594.17,1417.29,21.61,553.54,2388.13,9056.91,1.3,47.59,521.37,2388.16,8136.49,8.4535,393,38.82,23.2868,125
15,41,642.39,1589.03,1414.03,21.61,553.37,2388.11,9055.36,1.3,47.53,521.5,2388.08,8135.13,8.4397,393,38.86,23.2576,125
15,42,643.24,1593.09,1412.26,21.61,553.29,2388.12,9054.05,1.3,47.7,521.37,2388.17,8137.66,8.4334,394,38.94,23.3154,125
15,43,642.17,1593.13,1413.11,21.61,552.97,2388.12,9056.73,1.3,47.59,521.47,2388.11,8139.79,8.4553,394,38.97,23.243,125
15,44,642.54,1596.14,1412.0,21.61,553.01,2388.09,9057.24,1.3,47.44,521.42,2388.08,8131.01,8.4481,393,38.75,23.3489,125
15,45,642.88,1591.44,1412.98,21.61,552.74,2388.17,9056.6,1.3,47.36,520.94,2388.12,8134.83,8.4624,392,38.93,23.1487,125
15,46,642.84,1586.58,1413.18,21.61,553.16,2388.11,9050.91,1.3,47.56,521.49,2388.09,8142.07,8.449,392,38.79,23.3394,125
15,47,643.59,1594.24,1405.54,21.61,553.19,2388.11,9051.12,1.3,47.55,521.24,2388.09,8137.04,8.4468,394,38.88,23.2342,125
15,48,643.08,1592.5,1412.73,21.61,552.91,2388.11,9058.66,1.3,47.52,521.57,2388.08,8140.3,8.4553,393,39.0,23.3252,125
15,49,642.58,1586.79,1405.19,21.61,553.01,2388.18,9062.55,1.3,47.51,520.66,2388.13,8133.28,8.4618,394,38.74,23.2866,125
15,50,642.71,1588.27,1413.66,21.61,552.51,2388.11,9062.52,1.3,47.56,520.53,2388.14,8135.69,8.4517,393,38.76,23.165,125
15,51,642.8,1591.8,1411.77,21.61,552.77,2388.12,9056.54,1.3,47.63,521.49,2388.16,8141.61,8.4456,394,38.68,23.2839,125
15,52,642.99,1590.85,1408.07,21.61,552.75,2388.07,9055.36,1.3,47.85,520.78,2388.11,8132.42,8.4537,394,38.73,23.357,125
15,53,642.87,1597.55,1407.06,21.61,553.1,2388.16,9056.31,1.3,47.53,521.15,2388.05,8136.56,8.4583,393,38.69,23.2811,125
15,54,642.56,1582.86,1405.92,21.61,553.62,2388.09,9060.23,1.3,47.61,521.42,2388.09,8135.28,8.4189,392,38.9,23.2707,125
15,55,642.37,1584.34,1418.0,21.61,552.99,2388.09,9055.54,1.3,47.5,521.58,2388.08,8137.2,8.4578,394,38.83,23.3223,125
15,56,643.28,1594.49,1415.94,21.61,552.65,2388.14,9054.77,1.3,47.47,521.35,2388.14,8138.31,8.4456,394,38.83,23.2463,125
15,57,643.06,1590.73,1413.68,21.61,552.98,2388.14,9065.47,1.3,47.8,522.03,2388.13,8143.43,8.4814,394,38.83,23.2753,125
15,58,643.08,1588.86,1412.99,21.61,552.37,2388.14,9060.92,1.3,47.57,520.96,2388.12,8139.29,8.4269,393,38.68,23.1533,125
15,59,643.34,1588.1,1412.04,21.61,553.52,2388.14,9062.33,1.3,47.51,520.73,2388.09,8135.96,8.4597,394,38.65,23.2602,125
15,60,643.21,1592.91,1409.51,21.61,553.81,2388.08,9062.13,1.3,47.61,521.55,2388.1,8138.0,8.4281,394,38.81,23.2846,125
15,61,642.98,1587.04,1421.74,21.61,553.15,2388.14,9059.21,1.3,47.56,521.63,2388.1,8135.65,8.4206,393,38.69,23.1422,125
15,62,642.98,1596.09,1413.17,21.61,554.07,2388.14,9061.18,1.3,47.75,521.17,2388.12,8136.38,8.502,394,38.65,23.243,125
15,63,643.02,1587.61,1405.47,21.61,553.63,2388.14,9058.36,1.3,47.68,520.69,2388.13,8138.12,8.4233,394,38.82,23.264,125
15,64,642.61,1592.95,1414.44,21.61,553.74,2388.16,9052.55,1.3,47.66,521.72,2388.11,8135.01,8.4768,394,38.64,23.2975,125
15,65,643.14,1586.32,1413.09,21.61,552.97,2388.09,9053.67,1.3,47.92,520.84,2388.13,8135.93,8.4409,393,38.94,23.1683,125
15,66,642.14,1591.59,1410.74,21.61,552.88,2388.15,9060.8,1.3,47.53,521.46,2388.13,8139.39,8.418,395,38.79,23.3916,125
15,67,642.7,1583.59,1418.22,21.61,552.79,2388.05,9066.54,1.3,47.33,521.25,2388.14,8139.49,8.4252,394,38.6,23.2996,125
15,68,643.18,1592.85,1411.32,21.61,553.45,2388.17,9058.88,1.3,47.55,521.28,2388.15,8140.94,8.4576,393,38.94,23.2269,125
15,69,642.81,1582.91,1417.73,21.61,552.99,2388.13,9063.53,1.3,47.55,521.47,2388.09,8138.01,8.4452,395,38.82,23.4117,125
15,70,642.91,1595.32,1399.73,21.61,553.91,2388.07,9057.97,1.3,47.7,521.76,2388.12,8140.54,8.5182,393,38.76,23.2938,125
15,71,642.99,1591.1,1411.04,21.61,553.88,2388.11,9066.12,1.3,47.58,521.48,2388.15,8134.8,8.4667,392,38.68,23.2291,125
15,72,643.28,1591.78,1413.51,21.61,553.41,2388.17,9057.09,1.3,47.61,521.04,2388.15,8129.08,8.4707,394,38.74,23.3179,125
15,73,642.46,1591.7,1413.37,21.61,553.11,2388.12,9051.78,1.3,47.71,520.73,2388.1,8139.25,8.4918,395,38.79,23.1348,125
15,74,642.83,1592.32,1415.64,21.61,553.88,2388.05,9057.22,1.3,47.43,521.45,2388.12,8143.68,8.4646,393,38.87,23.3438,125
15,75,642.39,1588.88,1413.71,21.61,552.68,2388.11,9054.78,1.3,47.81,520.69,2388.17,8141.05,8.4492,394,38.89,23.1811,125
15,76,643.09,1591.55,1408.49,21.61,553.35,2388.18,9059.43,1.3,47.58,521.02,2388.15,8138.0,8.467,393,38.67,23.2568,125
15,77,642.55,1598.31,1413.85,21.61,553.72,2388.11,9061.05,1.3,47.76,521.01,2388.09,8139.83,8.4573,394,38.77,23.1237,125
15,78,642.98,1590.49,1410.82,21.61,552.79,2388.09,9063.91,1.3,47.62,521.1,2388.07,8132.75,8.4579,394,38.73,23.2488,124
15,79,643.42,1589.8,1409.72,21.61,553.88,2388.1,9061.42,1.3,47.64,521.1,2388.13,8136.93,8.4386,395,38.62,23.3149,123
15,80,642.73,1586.15,1409.77,21.61,553.37,2388.16,9059.77,1.3,47.74,520.89,2388.1,8136.46,8.4447,394,38.72,23.2432,122
